Name,EAN,Marca
Arroz Rissoto Italiano,"<div id=""OKTS_div"" data-ean=""7801420001553"" class=""jsx-273525516"" shenjian-list=""""></div>",TUCAPEL - 1 Kg
Arroz Integral,"<div id=""OKTS_div"" data-ean=""7801420001577"" class=""jsx-273525516"" shenjian-list=""""></div>",BANQUETE - 400 g
Arroz Basmati Miraflores,"<div id=""OKTS_div"" data-ean=""7800120176776"" class=""jsx-273525516"" shenjian-list=""""></div>",MIRAFLORES - 400 g
Arroz G1 Grano Largo Ancho,"<div id=""OKTS_div"" data-ean=""7801420250142"" class=""jsx-273525516"" shenjian-list=""""></div>",TUCAPEL - 1 kg
Arroz Risotto Miraflores,"<div id=""OKTS_div"" data-ean=""7800120176790"" class=""jsx-273525516"" shenjian-list=""""></div>",MIRAFLORES - 400 g
Arroz Miraflores G1 Grano Largo Ancho,"<div id=""OKTS_div"" data-ean=""7802615006551"" class=""jsx-273525516"" shenjian-list=""""></div>",MIRAFLORES - 1 Kg
Arroz G2 Grano Largo Angosto,"<div id=""OKTS_div"" data-ean=""7801420210139"" class=""jsx-273525516"" shenjian-list=""""></div>",TUCAPEL - 1 Kg
Arroz G2 Grano Largo Angosto,"<div id=""OKTS_div"" data-ean=""7804608222474"" class=""jsx-273525516"" shenjian-list=""""></div>",TOTTUS - 1 Kg
Arroz Miraflores G1 Pregraneado,"<div id=""OKTS_div"" data-ean=""7802615006568"" class=""jsx-273525516"" shenjian-list=""""></div>",MIRAFLORES - 1 Kg
Arroz G1 Integral Largo Ancho,"<div id=""OKTS_div"" data-ean=""7801420130130"" class=""jsx-273525516"" shenjian-list=""""></div>",TUCAPEL - 1 Kg
Arroz G1 Grano Largo Angosto,"<div id=""OKTS_div"" data-ean=""7801420001690"" class=""jsx-273525516"" shenjian-list=""""></div>",TUCAPEL - 1 kg
Arroz arborio,"<div id=""OKTS_div"" data-ean=""8001860201011"" class=""jsx-273525516"" shenjian-list=""""></div>",SCOTTI - 1 kg
Arroz G2 Grano Largo Ancho,"<div id=""OKTS_div"" data-ean=""7801420220138"" class=""jsx-273525516"" shenjian-list=""""></div>",TUCAPEL - 1 Kg
Arroz G1 Pregraneado Grano Ancho,"<div id=""OKTS_div"" data-ean=""7801420140139"" class=""jsx-273525516"" shenjian-list=""""></div>",TUCAPEL - 1 kg
Arroz G1 Grano Largo Ancho,"<div id=""OKTS_div"" data-ean=""7803110102212"" class=""jsx-273525516"" shenjian-list=""""></div>",BANQUETE - 1 kg
Arroz G1 Grano Largo Ancho,"<div id=""OKTS_div"" data-ean=""7803110000198"" class=""jsx-273525516"" shenjian-list=""""></div>",BANQUETE - 2 kg
