Title,Title_link,Thumbnail,jsx-282305541,price,cmrPrice,list
Arroz Rissoto Italiano,https://www.tottus.cl/tucapel-arroz-risotto-italiano-20235299/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20235299-M2ix7Ije-medium.jpg,TUCAPEL - 1 KG,$3.279 UN,$3.279 UN,$3.279 UN
Arroz Integral,https://www.tottus.cl/banquete-arroz-integral-multigrano-20265825/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20265825-VXk2Qwei-medium.jpg,BANQUETE - 400 G,$1.159 UN,$1.159 UN,$1.159 UN
Arroz Basmati Miraflores,https://www.tottus.cl/miraflores-arroz-basmati-miraflores-04-kl-20627839/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20627839-Z4wTL2fI-medium.jpg,MIRAFLORES - 400 G,$1.890 UN,$1.890 UN,$1.890 UN
Arroz G1 Grano Largo Ancho,https://www.tottus.cl/tucapel-arroz-gran-seleccion-grado-1-largo-01024017/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/1024017-30QuokV4-medium.jpg,TUCAPEL - 1 KG,$1.250 UN,$1.250 UN,$1.250 UN
Arroz Risotto Miraflores,https://www.tottus.cl/miraflores-arroz-risotto-miraflores-04-kl-20627840/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20627840-zN-2pM-Z-medium.jpg,MIRAFLORES - 400 G,$1.590 UN,$1.590 UN,$1.590 UN
Arroz Miraflores G1 Grano Largo Ancho,https://www.tottus.cl/miraflores-arroz-largo-ancho-grado-1-01024094/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/1024094-jo_2aa9F-medium.jpg,MIRAFLORES - 1 KG,$1.390 UN,$1.390 UN,$1.390 UN
Arroz G2 Grano Largo Angosto,https://www.tottus.cl/tucapel-arroz-blue-bonnet-grado-2-01024072/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/1024072-gDCgkcik-medium.jpg,TUCAPEL - 1 KG,"$930 UN,$1.190 UN",$930 UN,
Arroz G2 Grano Largo Angosto,https://www.tottus.cl/tottus-arroz-largo-fino-grado-2-20314273/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/20314273-AkfJaEQW-medium.jpg,TOTTUS - 1 KG,"$879 UN,$910 UN",$879 UN,
Arroz Miraflores G1 Pregraneado,https://www.tottus.cl/miraflores-arroz-pregraneado-01024090/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/1024090-LlLehad0-medium.jpg,MIRAFLORES - 1 KG,$1.560 UN,$1.560 UN,$1.560 UN
Arroz G1 Integral Largo Ancho,https://www.tottus.cl/tucapel-arroz-integral-grado-1-01024073/p/,https://7483c243aa9da28f329c-903e05bc00667eb97d832a11f670edad.ssl.cf1.rackcdn.com/1024073-ATgzPlRs-medium.jpg,TUCAPEL - 1 KG,$1.299 UN,$1.299 UN,$1.299 UN
Arroz G1 Grano Largo Angosto,https://www.tottus.cl/tucapel-arroz-blue-bonnet-grado-1-20341802/p/,,TUCAPEL - 1 KG,$1.290 UN,$1.290 UN,$1.290 UN
Arroz arborio,https://www.tottus.cl/scotti-arroz-arborio-risotto-scotti-1-kl-00500022/p/,,SCOTTI - 1 KG,$4.720 UN,$4.720 UN,$4.720 UN
Arroz G2 Grano Largo Ancho,https://www.tottus.cl/tucapel-arroz-gran-seleccion-grado-2-01024008/p/,,TUCAPEL - 1 KG,$1.140 UN,$1.140 UN,$1.140 UN
Arroz G1 Pregraneado Grano Ancho,https://www.tottus.cl/tucapel-arroz-pregraneado-grado-1-01024088/p/,,TUCAPEL - 1 KG,"$1.190 UN,$1.349 UN",$1.190 UN,
Arroz G1 Grano Largo Ancho,https://www.tottus.cl/banquete-arroz-premium-grado-1-01024033/p/,,BANQUETE - 1 KG,$1.250 UN,$1.250 UN,$1.250 UN
Arroz G1 Grano Largo Ancho,https://www.tottus.cl/banquete-arroz--premium-grado-1-20163288/p/,,BANQUETE - 2 KG,$2.500 UN,$2.500 UN,$2.500 UN
